BASE_NPI,N_CLAIMS,DISTINCT_ORGS,DISTINCT_ADDRS,MOST_RECENT_DOS,DAYS_SINCE,ADDR_EXACT_MATCH,ZIP_MATCH,STREET_ZIP_MATCH,RECENT_ZIP_MATCH,RECENT_STREET_ZIP_MATCH
1366437477.0,0,0,0,,,0,0,0,0,0
1487704672.0,0,0,0,,,0,0,0,0,0
1043832595.0,0,0,0,,,0,0,0,0,0
1407258981.0,0,0,0,,,0,0,0,0,0
1750328084.0,8,2,2,2026-03-04,52.0,0,0,0,0,0
1316938277.0,0,0,0,,,0,0,0,0,0
1033598370.0,0,0,0,,,0,0,0,0,0
1184353302.0,0,0,0,,,0,0,0,0,0
1174119341.0,0,0,0,,,0,0,0,0,0
1568240547.0,8,1,1,2026-03-09,47.0,0,0,0,0,0
1386218956.0,138,1,1,2026-04-08,17.0,0,1,1,1,1
1912489725.0,0,0,0,,,0,0,0,0,0
1821558743.0,1,1,1,2026-03-13,43.0,1,1,1,1,1
1033666441.0,0,0,0,,,0,0,0,0,0
1669655122.0,3,1,1,2026-01-12,103.0,0,0,0,0,0
1023464427.0,0,0,0,,,0,0,0,0,0
1043260342.0,0,0,0,,,0,0,0,0,0
1811904998.0,0,0,0,,,0,0,0,0,0
1114431574.0,63,1,1,2026-03-18,38.0,0,0,0,0,0
1699428557.0,2,1,1,2026-03-06,50.0,0,1,0,1,0
1043449069.0,0,0,0,,,0,0,0,0,0
1043784788.0,4,1,1,2026-02-03,81.0,0,0,0,0,0
1184904203.0,0,0,0,,,0,0,0,0,0
1619513520.0,14,1,1,2026-04-01,24.0,0,0,0,0,0
1588845101.0,0,0,0,,,0,0,0,0,0
1053361576.0,0,0,0,,,0,0,0,0,0
1164951745.0,0,0,0,,,0,0,0,0,0
1093970923.0,0,0,0,,,0,0,0,0,0
1366925372.0,0,0,0,,,0,0,0,0,0
1174826259.0,0,0,0,,,0,0,0,0,0
1245691567.0,0,0,0,,,0,0,0,0,0
1912454422.0,0,0,0,,,0,0,0,0,0
1265004501.0,2,1,1,2026-02-27,57.0,0,0,0,0,0
1942858006.0,0,0,0,,,0,0,0,0,0
