feat_r3_score_numeric,feat_low_claim_specialty,feat_web_says_not_found_and_not_empty,feat_r3_high_confidence,feat_ev_pv_nf_org_n,feat_ev_pv_nf_prov_n,feat_ev_pv_nf_agg_n,feat_ev_pv_f_org_n,feat_ev_pv_f_prov_n,feat_ev_pv_f_agg_n,feat_ev_ov_nf_org_n,feat_ev_ov_nf_prov_n,feat_ev_ov_nf_agg_n,feat_ev_ov_f_org_n,feat_ev_ov_f_prov_n,feat_ev_ov_f_agg_n,feat_ev_total_found,feat_ev_total_not_found,feat_ev_total,feat_ev_found_ratio,feat_pv_found_any,feat_ov_found_any,feat_pv_notfound_any,feat_ov_notfound_any,feat_both_views_found,feat_only_pv_found,feat_only_ov_found,feat_neither_view_found,feat_source_diversity,feat_state_high_risk,feat_has_credentials,feat_npi_changed_by_r3,feat_npi_deactivated,feat_r3_suggests_name_change,feat_cred_is_md_do,feat_cred_is_midlevel,feat_has_pio_evidence,feat_pio_yes,feat_pio_no,feat_org_is_hospital,feat_org_is_missing,feat_claims_n,feat_claims_distinct_orgs,feat_claims_distinct_addrs,feat_claims_days_since,feat_claims_zip_match,feat_claims_street_zip_match,feat_claims_recent_zip_match,feat_claims_recent_street_zip,feat_claims_zip_but_no_match,feat_claims_log1p_n,feat_claims_high_volume,feat_claims_recent_active,feat_claims_no_match_high_n,feat_claims_strong_corroborate,feat_claims_strong_contradict,feat_r3acc_x_claims_contradict,feat_r3ina_x_claims_corroborate,target
0.0,0,0,0,1,2,5,0,0,0,1,0,0,0,0,0,0,9,9,0.0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,196,4,4,30.0,0,0,0,0,1,5.2832037287379885,1,1,1,0,1,0,0,True
96.078431372549,0,0,1,0,0,2,3,0,1,2,0,0,0,0,0,4,4,8,0.5,1,0,1,1,0,1,0,0,2,0,1,1,0,0,1,0,1,0,0,1,0,3105,7,7,31.0,1,1,1,1,0,8.041091003708633,1,1,0,1,0,0,0,True
100.0,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,5,0,5,1.0,1,0,0,0,0,1,0,0,3,0,1,1,0,0,1,0,1,0,0,0,0,58,8,8,16.0,1,0,1,0,0,4.07753744390572,1,1,0,0,0,0,0,False
0.0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,4,4,0.0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1026,4,4,25.0,1,0,1,0,0,6.934397209928558,1,1,0,0,0,0,0,False
0.0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,120,1,1,25.0,0,0,0,0,1,4.795790545596741,1,1,1,0,1,0,0,False
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,92,2,2,43.0,1,1,1,1,0,4.532599493153256,1,1,0,1,0,0,1,False
0.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,3,0.0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,531,6,6,15.0,0,0,0,0,1,6.2766434893416445,1,1,1,0,1,0,0,False
0.0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,8,8,0.0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,72,2,2,96.0,0,0,0,0,1,4.290459441148391,1,1,1,0,1,0,0,False
0.0,1,0,0,2,0,5,0,0,0,2,0,0,0,0,0,0,9,9,0.0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,16,2,2,52.0,0,0,0,0,1,2.833213344056216,0,1,0,0,0,0,0,False
100.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1.0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,9999.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False
